Timestamp,Student ID,Violation
2026-02-15 14:55:42,55,Multiple People Detected
2026-02-15 14:55:44,55,Multiple People Detected
2026-02-15 14:55:47,55,Multiple People Detected
2026-02-15 14:55:47,55,Cell Phone Detected
2026-02-15 14:55:50,55,Multiple People Detected
2026-02-15 14:55:55,55,Cell Phone Detected
2026-02-15 14:55:55,55,Cell Phone Detected
2026-02-15 14:55:57,55,Cell Phone Detected
2026-02-15 14:56:20,55,Tab Switch / Browser Leave
2026-02-15 14:56:20,55,Tab Switch / Browser Leave
2026-02-15 14:56:34,55,Tab Switch / Browser Leave
2026-02-15 15:05:23,545,Harshith,Multiple People Detected
2026-02-15 15:05:28,545,Harshith,Cell Phone Detected
2026-02-15 15:05:28,545,Harshith,Cell Phone Detected
2026-02-15 15:05:29,545,Harshith,Cell Phone Detected
2026-02-15 15:05:33,545,Harshith,Laptop Detected
2026-02-15 15:05:37,545,Harshith,Cell Phone Detected
2026-02-15 15:05:37,545,Harshith,Cell Phone Detected
2026-02-15 15:05:38,545,Harshith,Cell Phone Detected
2026-02-15 15:05:38,545,Harshith,Cell Phone Detected
2026-02-15 15:05:43,545,Harshith,Cell Phone Detected
2026-02-15 15:05:48,545,Harshith,Tab Switch / Browser Leave
2026-02-15 15:05:48,545,Harshith,Tab Switch / Browser Leave
2026-02-15 15:05:48,545,Harshith,High Noise / Talking
2026-02-15 15:05:49,545,Harshith,High Noise / Talking
2026-02-15 15:05:49,545,Harshith,High Noise / Talking
2026-02-15 15:05:49,545,Harshith,High Noise / Talking
2026-02-15 15:05:49,545,Harshith,High Noise / Talking
2026-02-15 15:05:49,545,Harshith,High Noise / Talking
2026-02-15 15:05:49,545,Harshith,High Noise / Talking
2026-02-15 15:05:51,545,Harshith,High Noise / Talking
2026-02-15 15:05:51,545,Harshith,High Noise / Talking
2026-02-15 15:05:51,545,Harshith,High Noise / Talking
2026-02-15 15:05:54,545,Harshith,High Noise / Talking
2026-02-15 15:05:54,545,Harshith,High Noise / Talking
2026-02-15 15:05:54,545,Harshith,High Noise / Talking
2026-02-15 15:05:54,545,Harshith,High Noise / Talking
2026-02-15 15:05:54,545,Harshith,High Noise / Talking
2026-02-15 15:05:54,545,Harshith,High Noise / Talking
2026-02-15 15:05:54,545,Harshith,High Noise / Talking
2026-02-15 15:05:55,545,Harshith,High Noise / Talking
2026-02-15 15:05:55,545,Harshith,High Noise / Talking
2026-02-15 15:05:55,545,Harshith,High Noise / Talking
2026-02-15 15:05:55,545,Harshith,High Noise / Talking
2026-02-15 15:05:55,545,Harshith,High Noise / Talking
2026-02-15 15:05:55,545,Harshith,High Noise / Talking
2026-02-15 15:05:55,545,Harshith,High Noise / Talking
2026-02-15 15:05:55,545,Harshith,High Noise / Talking
2026-02-15 15:09:53,24261A0545,Harshith,Cell Phone Detected
2026-02-15 15:09:54,24261A0545,Harshith,Cell Phone Detected
2026-02-15 15:09:59,24261A0545,Harshith,Cell Phone Detected
2026-02-15 15:10:05,24261A0545,Harshith,Cell Phone Detected
2026-02-15 15:10:11,24261A0545,Harshith,No Face Detected
2026-02-15 15:10:16,24261A0545,Harshith,Cell Phone Detected
2026-02-15 15:10:17,24261A0545,Harshith,Cell Phone Detected
2026-02-15 15:10:20,24261A0545,Harshith,Tab Switch / Browser Leave
2026-02-15 15:10:20,24261A0545,Harshith,Tab Switch / Browser Leave
2026-02-15 15:10:30,24261A0545,Harshith,Tab Switch / Browser Leave
2026-02-15 15:13:24,24261A0545,hahsy,Tab Switch / Browser Leave
2026-02-15 15:13:24,24261A0545,hahsy,Tab Switch / Browser Leave
2026-02-15 15:13:28,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:28,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:29,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:30,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:30,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:30,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:30,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:30,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:30,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:31,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:31,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:31,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:32,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:32,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:32,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:33,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:33,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:33,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:33,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:34,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:34,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:34,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:39,24261A0545,hahsy,Cell Phone Detected
2026-02-15 15:13:43,24261A0545,hahsy,Tab Switch / Browser Leave
2026-02-15 15:13:43,24261A0545,hahsy,Tab Switch / Browser Leave
2026-02-15 15:13:51,24261A0545,hahsy,Multiple People Detected
2026-02-15 15:13:53,24261A0545,hahsy,Multiple People Detected
2026-02-15 15:13:53,24261A0545,hahsy,Multiple People Detected
2026-02-15 15:13:54,24261A0545,hahsy,Cell Phone Detected
2026-02-15 15:13:58,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:58,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:59,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:59,24261A0545,hahsy,Talking Detected
2026-02-15 15:13:59,24261A0545,hahsy,Talking Detected
